,key,val,val
187,Báo chí (Chất lượng cao),7320101CLC,7320101CLC
188,Vật lý học,QHT03,QHT03
189,Hoá học,QHT06,QHT06
190,Hóa học CLC,7440112CLC,7440112CLC
191,Khoa học môi trường,7440301,7440301
192,Toán ứng dụng,7460112,7460112
193,Công nghệ thông tin CLC,7480201CLC,7480201CLC
194,Công tác xã hội,7760101,7760101
195,Quản lý tài nguyên và môi trường (Chất lượng cao),7850101CLC,7850101CLC
196,Hóa học,7440112,7440112
197,Hóa học (Chuyên ngành Hóa Dược-Chất lượng cao),7440112CLC,7440112CLC
198,Công nghệ thông tin (Chất lượng cao),7480201_CLC,7480201_CLC
199,Địa lý học,7310501,7310501
200,Việt Nam học (Chất lượng cao),7310630CLC,7310630CLC
201,Giáo dục Công dân,7140204,7140204
202,Sư phạm khoa học tự nhiên,7140247,7140247
203,Sư phạm Lịch sử- Địa lý,7140249,7140249
204,Sư phạm Tin học và Công nghệ Tiểu học,7140250,7140250
205,Hóa học (Chất lượng cao),7440112CLC,7440112CLC
206,Y khoa,7720101,7720101
207,Dược học (tổ hợp A00),7720201A,7720201A
208,Dược học (tổ hợp B00),7720201B,7720201B
209,Răng - Hàm - Mặt,7720501,7720501
210,Kinh tế,7310101,7310101
211,Kinh doanh quốc tế,7340120,7340120
212,Hệ thống thông tin quản lý,7340405_J2,7340405_J2
213,Luật,7380101,7380101
214,Giáo dục Quốc phòng - An ninh,7140208,7140208
215,Du lịch,7810101,7810101
216,Quản trị nhà hàng và dịch vụ ăn uống,7810202,7810202
217,Du lịch điện tử,7810102,7810102
218,Các ngành đào tạo đại học,,
219,Kinh tế (chất lượng cao),7310101CL,7310101CL
220,Kinh tế chính trị,7310102,7310102
221,Thống kê kinh tế,7310107,7310107
222,Quản trị kinh doanh (chất lượng cao),7340101_407C,7340101_407C
223,Marketing,7340115,7340115
224,Tài chính - Ngân hàng (chất lượng cao),7340201_404C,7340201_404C
225,Kiểm toán (chất lượng cao),7340302_409C,7340302_409C
226,Quản trị nhân lực,7340404,7340404
227,Hệ thống thông tin quản lý (chất lượng cao),7340405_406C,7340405_406C
228,Tài chính - Ngân hàng (liên kết),7349001,7349001
229,Quản trị kinh doanh (liên kết),7349002,7349002
230,Kinh tế nông nghiệp,7620115,7620115
231,Song ngành Kinh tế - Tài chính (liên kết),7903124,7903124
232,Tài chính - Ngân hàng CLC,7349001,7349001
233,Song ngành Kinh tế - Tài chính,7903124,7903124
234,Quản trị kinh doanh CLC,7340101C,7340101C
235,Bất động sản,7340116,7340116
236,Công nghệ sau thu hoạch,7540104,7540104
237,Đảm bảo chất lượng và an toàn thực phẩm,7540106,7540106
238,Công nghệ chế biến lâm sản,7549001,7549001
239,Khuyến nông,7620102,7620102
240,Khoa học đất,QHT14,QHT14
241,Chăn nuôi,7620105,7620105
242,Nông học,7620109,7620109
243,Khoa học cây trồng,7620110,7620110
244,Bảo vệ thực vật,7620112,7620112
245,Công nghệ rau hoa quả và cảnh quan,7620113,7620113
246,Phát triển nông thôn,7620116,7620116
247,Lâm học,7620201,7620201
248,Lâm nghiệp đô thị,7620202,7620202
249,Quản lý tài nguyên rừng,7620211,7620211
250,Nuôi trồng thuỷ sản,7620301,7620301
251,Bệnh học thủy sản,7620302,7620302
252,Quản lý thủy sản,7620305,7620305
253,Quản lý tài nguyên rừng,7620211,7620211
254,Nuôi trồng thủy sản,7620301,7620301
255,Khoa học cây trồng,7620110,7620110
256,Thú y,7640101,7640101
257,Công nghệ thực phẩm,7540101,7540101
258,Đảm bảo chất lượng và an toàn thực phẩm,7540106,7540106
259,Kỹ thuật cơ sở hạ tầng,7580210,7580210
260,Kỹ thuật cơ – điện tử,7520114,7520114
261,Công nghệ kỹ thuật cơ khí,7510201,7510201
262,Sinh học ứng dụng,7420203,7420203
263,Sư phạm Mỹ thuật,7140222,7140222
264,Hội hoạ,7210103,7210103
265,Điêu khắc,52210105,52210105
266,Thiết kế đồ họa,52210403,52210403
267,Thiết kế thời trang,7210404,7210404
268,Thiết kế nội thất,7580108CT,7580108CT
269,Sư phạm Mỹ thuật,7140222,7140222
270,Hội họa,52210103,52210103
271,Thiết kế Đồ họa,7210403,7210403
272,Thiết kế Thời trang,7210404,7210404
273,Thiết kế Nội thất,7580108,7580108
274,Công nghệ kỹ thuật môi trường,7510406,7510406
275,Kỹ thuật Xây dựng,7580201,7580201
276,Kỹ thuật điện,7520201,7520201
277,Thiết kế Đồ họa,7210403,7210403
278,Kỹ thuật điều khiển và tự động hóa,7520216,7520216
279,Tâm lý học giáo dục,7310403D,7310403D
280,Vật lí (chương trình tiên tiến),T140211,T140211
281,Sư phạm Vật lí,7140211,7140211
282,Sư phạm Hóa học,GD1,GD1
283,Sư phạm Địa lí,7140219,7140219
284,Giáo dục Mầm non,7140201,7140201
285,Giáo dục Quốc phòng – An ninh,7140208C,7140208C
286,Vật lí,T140211,T140211
287,Sư phạm công nghệ,7140246,7140246
288,Giáo dục pháp luật,7140248,7140248
289,Sư phạm Lịch sử - Địa lý,51140249,51140249
290,Hệ thống thông tin,7340405,7340405
291,Vật lý (chương trình tiên tiến),T140211,T140211
292,Hán Nôm,QHX06,QHX06
293,Triết học,QHX22,QHX22
294,Ngôn ngữ học,QHX10,QHX10
295,Xã hội học,QHX25,QHX25
296,Sinh học,QHT08,QHT08
297,Địa chất học,QHT18,QHT18
298,Địa lý tự nhiênkỹ thuật,7440217,7440217
299,Toán học,QHT01,QHT01
300,Hán - Nôm,7220104,7220104
301,Vật lí học,QHT03,QHT03
302,Địa lí tự nhiên,QHT10,QHT10
303,Công nghệ kỹ thuật điện tử - Viễn thông,7510302,7510302
304,Kỹ thuật địa chất,7520501,7520501
305,Kỹ thuật trắc địa - Bản đồ,7520503,7520503
